TRADEDATE,CLOSE,OPEN,HIGH,LOW
2023-01-03,2173,2158,2175,2158
2023-01-04,2169,2172,2180,2163
2023-01-05,2157,2171,2172,2155
2023-01-06,2157,2158,2161,2154
2023-01-09,2164,2164,2170,2163
2023-01-10,2160,2163,2163,2146
2023-01-11,2187,2157,2191,2154
2023-01-12,2186,2194,2195,2178
2023-01-13,2200,2189,2205,2180
2023-01-16,2225,2205,2225,2205
2023-01-17,2197,2226,2227,2197
2023-01-18,2197,2189,2207,2178
2023-01-19,2169,2191,2194,2163
2023-01-20,2167,2168,2174,2155
2023-01-23,2186,2168,2187,2165
2023-01-24,2173,2192,2200,2173
2023-01-25,2171,2169,2177,2161
2023-01-26,2167,2182,2184,2167
2023-01-27,2190,2175,2190,2168
2023-01-30,2205,2194,2205,2190
2023-01-31,2226,2204,2226,2203
2023-02-01,2231,2233,2248,2225
2023-02-02,2244,2244,2250,2229
2023-02-03,2249,2240,2254,2217
2023-02-06,2273,2246,2277,2244
2023-02-07,2268,2282,2291,2263
2023-02-08,2252,2274,2284,2245
2023-02-09,2263,2259,2270,2242
2023-02-10,2262,2254,2265,2250
2023-02-13,2265,2263,2271,2262
2023-02-14,2233,2257,2257,2226
2023-02-15,2167,2217,2217,2165
2023-02-16,2154,2170,2187,2151
2023-02-17,2169,2158,2181,2148
2023-02-20,2184,2173,2187,2141
2023-02-21,2213,2185,2228,2185
2023-02-22,2213,2216,2216,2195
2023-02-24,2209,2210,2224,2203
2023-02-27,2242,2195,2242,2189
2023-02-28,2254,2247,2259,2240
2023-03-01,2280,2259,2288,2256
2023-03-02,2255,2285,2287,2236
2023-03-03,2273,2251,2274,2250
2023-03-06,2295,2287,2298,2284
2023-03-07,2296,2295,2299,2282
2023-03-09,2291,2296,2303,2279
2023-03-10,2277,2273,2284,2267
2023-03-13,2270,2280,2290,2251
2023-03-14,2291,2267,2291,2262
2023-03-15,2263,2288,2296,2257
2023-03-16,2259,2263,2270,2237
2023-03-17,2323,2285,2323,2276
2023-03-20,2398,2338,2398,2333
2023-03-21,2399,2418,2432,2384
2023-03-22,2394,2388,2399,2375
2023-03-23,2389,2387,2397,2380
2023-03-24,2392,2387,2395,2385
2023-03-27,2441,2401,2441,2401
2023-03-28,2443,2454,2459,2422
2023-03-29,2461,2450,2469,2438
2023-03-30,2466,2459,2468,2451
2023-03-31,2451,2471,2473,2425
2023-04-03,2474,2475,2483,2463
2023-04-04,2481,2484,2512,2480
2023-04-05,2501,2490,2501,2466
2023-04-06,2499,2505,2522,2499
2023-04-07,2509,2505,2512,2492
2023-04-10,2548,2524,2549,2524
2023-04-11,2534,2561,2578,2516
2023-04-12,2539,2539,2555,2521
2023-04-13,2545,2547,2558,2529
2023-04-14,2555,2547,2555,2533
2023-04-17,2597,2573,2597,2573
2023-04-18,2616,2602,2616,2587
2023-04-19,2607,2618,2630,2585
